epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,783.272,1.9262,2.93468,1.85492,0.02238,0.2,0.07435,0.02173,0.74968,99.1408,0.91808,0.000658537,0.000658537,0.000658537
2,1332.19,1.96388,2.62359,1.92744,0.2134,0.36,0.19357,0.07426,0.83267,219.598,0.83639,0.00125961,0.00125961,0.00125961
3,3215.2,2.02942,2.55164,1.98038,0.16024,0.16,0.09207,0.03996,0.93,138.331,0.95218,0.00179467,0.00179467,0.00179467
4,3552.3,2.01056,2.33303,1.9499,0.58962,0.48,0.48765,0.15926,0.84826,94.6589,0.89803,0.001703,0.001703,0.001703
5,3938.54,1.97568,2.23723,1.89631,0.34036,0.42,0.23954,0.08269,0.873,24.8126,0.85368,0.001604,0.001604,0.001604
6,4316.43,1.9152,2.0948,1.84886,0.79428,0.62,0.67614,0.28005,0.74578,48.937,0.73927,0.001505,0.001505,0.001505
7,4686.34,1.875,2.01477,1.78146,0.61783,0.56,0.62235,0.26076,0.76169,19.6084,0.80224,0.001406,0.001406,0.001406
8,4986.61,1.83479,1.89078,1.77823,0.65019,0.56,0.54886,0.24175,0.76387,42.4555,0.75386,0.001307,0.001307,0.001307
9,5292.03,1.80429,1.81816,1.73272,0.40705,0.5,0.45187,0.20509,0.78676,15.55,0.82256,0.001208,0.001208,0.001208
10,5703.67,1.77999,1.74615,1.73697,0.56687,0.58,0.56115,0.24123,0.75639,13.564,0.74988,0.001109,0.001109,0.001109
11,6066.84,1.79021,1.75687,1.8071,0.61138,0.64,0.59718,0.26305,0.70969,21.0295,0.73623,0.00101,0.00101,0.00101
12,6343.23,1.72576,1.60796,1.75439,0.68996,0.4452,0.59121,0.30493,0.70421,10.71,0.7166,0.000911,0.000911,0.000911
13,6629.9,1.71607,1.54756,1.73717,0.55826,0.70779,0.63585,0.29143,0.69928,12.3317,0.71637,0.000812,0.000812,0.000812
14,6920.19,1.70048,1.48198,1.74786,0.64237,0.74,0.70607,0.35653,0.68474,23.9081,0.71614,0.000713,0.000713,0.000713
15,7232.29,1.63269,1.38147,1.68799,0.65199,0.63703,0.64347,0.33854,0.62566,12.8452,0.68135,0.000614,0.000614,0.000614
16,13026.3,1.6071,1.32012,1.68075,0.6662,0.55885,0.54672,0.29184,0.64425,14.213,0.70026,0.000515,0.000515,0.000515
17,13917.1,1.57895,1.24995,1.64143,0.67717,0.79714,0.77025,0.42341,0.63634,5.40437,0.68688,0.000416,0.000416,0.000416
18,14353.6,1.52659,1.18799,1.62431,0.83968,0.41903,0.59086,0.29063,0.67662,4.66259,0.73029,0.000317,0.000317,0.000317
19,21680.3,1.50069,1.13188,1.59914,0.63808,0.6,0.64075,0.30316,0.64646,6.66571,0.67329,0.000218,0.000218,0.000218
20,22013.5,1.48727,1.08021,1.58119,0.59044,0.62,0.6529,0.35372,0.61274,5.91946,0.65166,0.000119,0.000119,0.000119
